n_kejuruan,n_mat,n_por,n_agama,n_bjawa,n_bindo,n_sikap_a,mother_work_lainnya,mother_salary_sangat_rendah,father_salary_tidak_berpenghasilan,extracurricular_tidak,father_edu_smp_sederajat,father_work_buruh,mother_salary_cukup_rendah,mother_work_buruh,final_score
86,84,88,94,89,81,0,0,0,0,1,0,0,0,0,1
87,81,84,94,90,81,0,0,0,0,1,0,0,0,0,1
82,81,84,89,90,81,0,0,0,0,1,0,0,0,0,0
88,84,86,93,89,81,1,0,0,1,1,0,0,0,0,1
82,85,88,94,89,80,0,0,0,1,1,0,0,0,0,0
88,83,88,85,88,89,0,0,0,0,1,1,0,0,0,1
87,83,86,84,90,86,0,0,0,0,1,0,1,0,0,1
88,84,89,84,90,81,0,0,0,0,1,0,1,0,0,1
86,83,90,95,87,88,1,0,0,0,1,0,1,0,0,1
88,83,87,94,89,86,1,0,0,1,1,0,0,1,0,1
88,83,83,94,89,80,0,0,0,0,1,1,0,0,0,1
86,84,87,84,87,87,0,0,0,0,1,1,0,0,0,1
88,83,89,81,88,78,0,0,0,0,1,1,0,0,0,1
88,84,85,94,88,94,1,0,0,0,1,0,0,0,0,1
84,84,87,91,89,84,0,0,0,0,1,0,0,0,0,1
91,81,88,81,89,78,0,0,0,1,1,0,0,0,0,1
88,83,89,94,88,87,1,0,0,0,1,0,0,0,0,1
86,81,85,95,87,91,0,0,0,0,1,0,0,1,0,1
87,83,88,81,88,91,0,0,0,1,0,0,0,0,0,1
90,84,86,95,87,93,1,0,0,0,1,0,0,0,0,1
82,84,85,83,88,78,0,0,0,0,0,1,0,1,0,0
88,84,86,94,88,83,1,0,0,0,0,0,0,1,0,1
86,84,88,90,89,78,0,0,0,0,1,0,0,0,0,1
87,83,90,93,88,89,1,0,0,0,1,1,0,0,0,1
87,83,88,96,87,90,1,0,0,0,1,0,0,0,0,1
86,84,91,92,87,84,0,0,0,0,1,0,0,1,0,1
88,83,89,92,88,84,1,0,0,0,1,0,1,0,1,1
87,83,91,92,87,92,1,0,0,1,1,0,0,0,0,1
86,81,90,94,89,81,0,0,0,0,0,0,0,0,0,1
89,83,88,94,90,89,1,0,1,0,0,0,1,0,1,1
87,81,92,96,90,86,1,0,0,0,0,0,0,0,0,1
86,83,89,94,88,89,1,0,0,0,1,0,0,0,0,1
89,80,91,92,87,78,0,0,0,1,1,0,0,0,1,1
85,82,90,95,88,83,0,0,0,0,1,0,0,0,0,1
87,83,89,82,88,78,0,0,0,0,1,1,0,0,0,0
86,83,88,83,89,87,0,0,0,0,1,0,0,1,0,1
89,81,89,87,89,92,1,0,0,0,1,0,0,0,0,1
89,83,91,95,90,89,1,0,0,1,1,1,0,1,0,1
89,81,87,81,90,78,0,0,0,0,1,0,0,0,0,1
88,84,91,96,88,81,1,1,0,0,1,0,0,0,0,1
87,83,87,91,89,78,0,0,0,0,1,0,0,0,0,1
85,86,89,92,89,81,0,0,0,1,1,0,0,1,0,1
86,79,87,84,89,81,0,0,0,0,1,0,0,0,0,0
86,80,87,84,88,81,0,1,0,1,1,0,0,1,0,0
86,80,85,82,89,82,0,0,0,0,1,1,0,0,0,0
87,78,86,94,89,83,0,0,0,1,1,0,0,1,0,1
88,78,82,83,90,78,0,0,0,1,1,0,0,0,0,0
88,81,85,82,90,80,0,0,0,0,1,1,0,0,0,1
85,83,85,96,90,79,0,0,0,0,1,0,0,0,0,1
84,77,84,82,89,80,0,0,0,0,1,0,0,0,0,0
85,87,84,82,89,79,0,0,0,0,1,0,0,0,0,0
87,77,85,83,87,81,0,0,0,1,1,0,0,0,0,0
88,90,89,94,88,82,1,0,0,0,0,1,0,0,0,1
85,87,89,93,88,80,0,0,0,0,1,1,1,0,0,1
87,77,82,83,88,78,0,0,0,0,1,0,0,0,0,0
85,85,83,82,90,80,0,0,0,0,1,1,0,0,0,0
84,77,81,82,90,83,0,0,0,0,1,0,0,0,0,0
87,83,84,92,88,86,0,0,0,0,0,0,0,0,0,1
83,81,92,81,88,83,0,0,0,0,1,0,0,0,0,0
86,89,87,83,89,88,0,0,0,0,0,0,0,0,0,1
85,88,89,93,92,81,0,0,0,0,0,1,0,1,0,1
85,85,88,83,88,82,0,0,0,0,1,0,1,0,0,0
84,78,87,81,89,86,0,0,0,0,1,0,0,0,0,0
84,80,87,81,90,79,0,0,0,0,1,1,0,0,0,0
83,79,83,81,90,82,0,0,0,0,1,0,0,0,0,0
85,79,87,92,90,80,0,0,0,0,1,1,0,0,0,0
83,83,87,90,89,83,0,0,0,0,1,0,1,0,0,0
86,79,89,83,89,85,0,0,0,0,1,0,0,0,0,0
87,86,89,92,89,84,1,0,0,0,0,0,0,0,0,1
85,81,86,83,90,84,0,0,0,0,1,0,0,0,0,0
86,82,89,83,91,82,0,0,0,0,1,0,1,0,1,0
82,80,86,82,87,81,0,0,0,0,1,0,0,0,0,0
84,82,84,90,89,81,0,0,0,0,1,0,1,0,0,0
82,75,90,83,90,81,0,0,0,0,1,0,0,0,0,0
86,90,89,94,91,88,1,0,0,0,1,0,0,0,0,1
84,87,89,84,90,86,0,0,0,0,1,0,0,0,0,0
84,85,89,83,89,83,0,0,0,0,1,0,0,0,0,0
85,78,86,92,89,83,0,0,0,1,1,1,0,0,0,0
83,82,81,83,90,82,0,0,0,0,1,0,1,0,0,0
82,78,86,94,90,81,0,0,0,1,1,0,0,1,1,0
86,82,93,95,90,83,0,0,0,0,0,0,1,1,1,1
85,79,81,94,90,81,0,0,0,0,1,0,0,0,0,0
85,77,88,91,89,83,0,0,1,0,1,0,1,0,0,0
85,83,83,84,88,81,0,0,0,0,1,0,0,1,0,0
82,79,88,91,88,80,0,0,0,0,1,1,0,0,0,0
85,87,88,83,90,82,0,0,0,0,1,0,0,0,0,1
85,84,86,92,90,83,0,1,1,0,1,0,0,0,0,1
86,82,87,83,89,82,0,0,0,0,1,0,0,0,0,0
88,84,86,82,89,81,0,0,0,0,0,0,1,0,0,1
85,75,81,91,89,83,0,0,0,0,1,0,0,0,0,0
86,86,92,92,89,82,0,0,0,0,0,1,0,1,0,1
84,75,81,82,89,83,0,0,0,0,1,0,0,0,0,0
86,87,88,94,88,81,0,0,0,0,1,0,0,0,0,1
85,75,87,81,89,79,0,0,0,0,1,1,0,0,0,0
85,79,85,92,90,81,0,0,0,0,1,0,0,0,0,0
85,84,86,94,89,86,0,0,0,0,1,1,1,0,0,1
87,80,84,91,90,81,0,0,0,0,1,0,0,1,0,1
85,81,89,91,89,81,0,0,0,0,1,0,0,0,0,1
85,84,86,95,87,84,0,0,0,0,1,0,0,0,0,1
83,80,87,95,89,84,0,0,0,0,1,0,0,0,0,0
82,79,84,93,90,82,0,0,0,0,1,0,1,0,1,0
87,85,82,91,90,84,0,0,0,0,1,0,0,0,0,1
82,75,84,81,88,80,0,0,0,0,1,1,0,0,0,0
84,79,84,94,90,81,0,0,0,0,1,0,1,0,0,0
85,76,87,90,91,84,0,1,0,0,1,0,0,1,0,0
85,82,84,83,90,82,0,0,0,0,1,1,0,0,0,0
88,81,86,84,90,87,0,0,0,0,1,0,0,0,0,1
86,84,85,84,90,83,0,0,0,0,1,0,0,0,0,1
85,80,88,95,89,83,0,0,0,0,1,0,0,1,0,1
83,79,84,82,89,79,0,0,0,0,1,0,1,0,0,0
84,82,88,95,89,83,0,0,0,0,1,1,0,0,0,1
87,89,89,95,89,86,1,0,0,0,1,0,1,0,0,1
86,87,91,82,88,85,0,0,0,1,1,1,0,0,0,1
79,77,86,82,88,82,0,0,0,0,1,0,1,1,1,0
82,80,87,91,89,83,0,0,0,0,1,0,0,1,0,0
80,77,85,81,89,81,0,0,0,0,1,0,0,0,0,0
86,86,91,92,88,87,1,0,0,0,1,0,0,0,0,1
81,82,88,85,92,82,0,0,0,0,1,0,0,1,0,0
83,83,87,84,88,85,0,0,0,0,1,0,0,0,0,0
81,77,87,82,88,82,0,0,0,0,1,1,0,0,1,0
86,84,89,95,89,85,1,0,0,0,1,1,1,0,1,1
86,83,88,83,90,85,0,0,0,0,1,0,0,0,0,1
87,84,90,83,89,87,0,0,0,0,0,0,0,0,1,1
86,83,92,83,88,82,0,0,0,1,1,0,0,0,0,1
87,93,92,94,90,87,1,0,0,0,1,0,0,0,0,1
86,84,89,90,88,82,0,0,0,0,1,1,1,0,0,1
88,88,90,92,88,84,1,0,0,0,0,0,0,1,1,1
86,85,89,93,89,87,1,0,0,0,0,0,0,0,0,1
83,83,87,91,90,81,0,0,0,0,1,0,0,0,0,0
84,84,89,91,90,84,0,1,0,0,1,0,1,1,0,1
84,83,88,83,89,82,0,0,0,0,1,0,0,0,0,0
90,86,90,82,89,85,1,0,0,0,1,0,0,0,0,1
89,84,89,92,88,86,1,0,0,0,1,0,0,1,0,1
89,87,89,92,89,86,1,0,0,0,1,0,0,0,0,1
90,87,89,86,90,86,1,0,0,0,1,0,0,0,0,1
89,87,90,83,88,87,1,0,0,0,1,0,0,0,0,1
87,86,90,95,88,83,1,0,0,0,0,1,1,0,0,1
87,84,90,94,89,84,1,0,0,0,0,1,1,0,0,1
83,84,86,90,89,81,0,1,0,0,1,0,1,1,0,0
89,86,90,86,89,84,1,0,0,0,1,0,0,0,0,1
86,82,89,93,88,84,0,1,0,1,1,0,0,1,0,1
89,83,91,84,89,84,1,0,0,0,1,0,0,0,0,1
85,86,88,82,89,82,0,0,0,0,1,0,1,1,1,0
88,82,89,84,88,82,0,0,0,0,1,1,0,0,0,1
83,81,88,93,88,83,0,0,0,1,1,0,0,0,0,0
89,88,88,92,87,85,1,0,0,0,1,0,0,0,0,1
84,84,87,92,87,86,0,0,0,0,1,0,0,0,0,0
89,78,86,86,86,88,0,0,1,0,1,0,1,0,0,1
88,86,88,84,86,88,0,0,0,0,1,0,0,0,0,1
88,88,87,83,85,88,0,0,0,0,1,0,0,0,0,1
88,89,85,89,86,89,0,0,0,0,1,0,0,0,0,1
89,92,85,89,86,90,1,0,0,1,1,0,0,0,0,1
87,88,86,83,86,89,0,0,0,0,1,0,0,0,0,1
87,77,84,87,86,87,0,0,0,1,0,0,0,1,0,0
88,88,87,90,85,85,0,0,0,1,1,0,0,0,0,1
88,78,86,85,86,88,0,0,0,0,1,0,0,0,0,0
90,92,89,96,86,89,1,0,0,0,1,0,0,0,0,1
87,84,86,85,86,89,0,0,0,0,1,0,1,0,0,1
89,95,86,90,87,86,1,0,0,0,1,0,0,0,0,1
88,87,86,98,86,88,1,0,0,0,1,0,0,0,0,1
86,77,85,82,86,87,0,0,0,0,1,0,0,0,0,0
88,85,88,96,86,90,1,0,0,0,1,0,0,0,0,1
89,78,86,89,86,88,0,0,0,0,1,0,0,0,1,1
90,88,87,89,87,91,1,0,0,0,1,0,0,1,0,1
87,79,89,85,86,88,0,0,0,0,1,0,1,0,0,1
86,78,86,89,86,88,0,0,0,0,1,0,0,0,0,1
88,81,86,97,86,87,1,0,0,0,1,0,0,0,0,1
88,87,86,91,86,88,1,0,0,0,1,0,1,0,1,1
88,92,85,90,86,88,1,0,0,0,1,0,1,0,1,1
89,80,89,86,86,90,0,0,0,0,1,0,0,0,0,1
89,81,86,86,86,87,0,0,0,0,1,0,0,0,0,1
88,78,85,84,86,85,0,0,0,0,0,0,0,0,0,0
88,81,86,89,85,88,0,0,0,0,1,0,0,1,0,1
89,90,86,92,86,89,1,0,0,0,1,0,0,0,0,1
87,77,87,80,84,86,0,0,0,0,1,0,0,0,0,0
88,79,86,84,86,87,0,0,0,0,1,0,0,1,0,0
89,79,86,83,87,88,0,0,0,1,1,0,0,0,0,1
89,85,86,90,86,88,0,0,0,0,1,1,0,0,0,1
86,77,84,84,85,87,0,0,0,0,1,0,0,0,0,0
86,78,83,86,86,85,0,0,0,0,1,0,0,0,0,0
89,78,89,87,86,87,0,0,0,0,1,0,0,0,0,1
88,82,86,87,86,88,0,0,0,0,1,0,0,0,0,1
88,92,86,88,86,84,0,0,0,0,1,0,0,1,0,1
90,79,87,81,87,87,0,0,0,0,1,0,0,0,0,1
90,82,87,84,84,91,0,0,0,0,1,0,0,0,0,1
89,88,85,82,89,89,0,0,0,0,1,0,0,0,0,1
90,82,88,85,92,91,1,0,1,0,1,1,0,0,0,1
89,89,88,83,92,89,1,1,0,0,0,0,0,0,0,1
88,89,85,82,89,89,1,0,0,0,1,1,1,0,0,1
88,78,85,80,87,87,0,0,0,0,1,0,1,0,1,0
88,80,86,83,87,86,0,0,0,0,0,0,0,0,0,1
88,91,87,85,89,89,1,0,0,0,1,0,0,0,0,1
88,94,87,82,89,89,1,0,0,0,1,0,0,0,0,1
88,78,86,81,84,88,0,0,0,0,1,0,0,0,0,0
90,92,87,84,92,89,1,0,0,0,1,0,0,0,0,1
89,83,85,87,89,91,1,0,0,0,0,1,0,0,0,1
90,80,87,84,92,90,1,0,0,0,1,0,0,0,0,1
89,89,88,88,89,91,1,0,0,0,1,0,0,0,0,1
88,83,85,86,84,89,0,0,0,0,1,0,0,0,0,1
90,85,85,85,89,90,0,0,0,0,1,0,0,0,0,1
88,81,82,82,89,88,0,0,0,0,1,0,0,0,0,1
88,93,86,84,86,89,1,0,0,0,1,0,0,0,0,1
89,84,87,83,89,87,0,0,0,0,1,0,0,0,0,1
88,77,87,86,91,90,0,0,0,0,1,1,0,0,1,1
87,86,87,83,86,90,0,0,0,0,0,1,0,0,0,1
88,88,86,84,91,88,1,0,0,0,1,0,0,0,0,1
86,78,87,80,84,88,0,0,0,0,1,0,1,0,0,0
88,81,84,83,89,87,0,0,0,0,1,1,0,0,0,1
88,91,86,85,91,89,1,0,0,0,1,0,0,0,0,1
89,92,85,83,89,86,1,0,0,0,1,0,0,0,0,1
88,91,86,87,91,88,1,0,0,0,1,0,0,0,0,1
88,78,85,83,89,86,0,0,0,0,1,1,1,1,0,1
88,82,87,82,86,88,0,0,0,0,1,1,0,1,0,1
89,87,87,87,89,90,1,0,0,1,1,0,0,0,0,1
88,78,86,87,89,91,0,0,0,0,1,0,0,0,0,1
86,79,86,82,86,85,0,0,0,0,1,0,0,0,0,0
86,89,85,83,89,87,0,0,0,0,1,0,1,0,0,1
88,83,86,82,89,87,0,0,0,0,1,0,0,1,0,1
88,81,86,86,86,86,0,0,0,0,1,0,0,1,0,1
86,78,84,80,87,88,0,0,0,0,1,1,0,1,0,1
86,78,86,82,89,88,0,0,0,0,1,0,1,1,0,0
89,84,86,87,89,89,0,0,0,0,1,0,1,0,0,1
86,78,86,88,86,88,1,0,0,0,0,1,0,0,0,1
84,78,85,79,83,85,0,0,0,0,1,0,1,0,0,1
85,78,86,81,83,86,0,0,0,0,1,0,0,1,0,0
87,78,85,81,83,88,0,0,1,0,1,0,1,0,0,0
88,79,86,88,89,88,0,0,0,0,1,0,0,0,0,0
84,78,84,84,85,84,0,0,0,1,0,0,0,1,0,1
86,78,84,81,84,83,0,0,0,0,1,0,0,0,0,0
86,79,84,84,82,86,0,0,0,0,1,0,0,0,0,0
84,77,83,80,85,84,0,0,0,0,1,1,0,0,0,0
88,81,86,86,89,88,0,0,0,0,1,0,0,0,0,0
85,78,84,83,83,85,0,0,0,0,1,0,0,0,0,1
89,92,86,88,85,88,0,0,0,0,1,1,1,0,0,0
88,79,86,87,85,87,1,0,0,0,1,0,0,0,0,1
85,78,84,80,84,83,0,0,0,0,1,0,0,1,0,1
88,77,86,90,86,88,0,0,1,0,1,1,0,0,0,0
88,78,85,94,86,86,0,0,0,0,1,0,0,0,0,1
86,80,83,85,87,86,0,0,0,0,0,0,1,0,0,1
85,77,83,84,87,85,0,0,0,0,1,0,0,0,0,0
88,77,86,85,86,91,0,0,0,0,1,0,1,0,0,0
88,78,85,83,84,88,0,0,0,0,1,0,0,1,0,1
86,77,84,86,82,85,0,0,0,0,1,0,0,0,0,0
88,79,85,86,86,89,0,0,0,0,1,0,0,0,0,0
86,78,85,84,82,85,0,0,0,0,0,1,1,0,0,1
87,78,85,84,84,88,0,0,0,0,1,0,1,0,0,0
88,78,86,84,88,91,0,0,1,0,1,1,0,0,0,0
84,77,83,79,82,84,0,0,0,0,1,0,0,0,0,1
87,78,86,87,84,85,0,0,0,0,1,0,0,0,0,0
87,78,85,85,82,86,0,0,1,0,1,0,1,0,0,0
84,77,84,88,84,87,0,0,0,0,1,1,0,0,0,0
88,90,87,90,88,87,0,0,0,1,1,1,0,1,1,0
87,78,86,88,88,85,1,0,0,1,1,0,0,1,0,1
89,79,86,89,86,89,0,0,0,0,1,0,0,0,0,1
87,84,86,84,84,86,0,0,0,0,1,0,0,0,0,1
85,81,83,83,83,83,0,0,0,0,1,0,0,0,0,0
87,82,85,83,86,88,0,0,0,0,1,0,0,1,0,1
85,80,81,80,83,80,0,0,0,0,1,0,0,0,0,0
90,82,87,84,86,89,0,0,1,0,0,0,0,0,0,1
87,80,85,82,85,88,0,0,0,1,1,0,0,0,0,0
85,81,84,82,85,86,0,0,0,0,0,0,0,0,0,0
87,81,80,87,85,88,0,0,0,0,1,0,0,0,0,0
87,81,84,82,85,84,0,0,0,0,1,0,0,0,0,0
85,78,81,78,84,83,0,0,0,0,1,1,1,0,1,0
85,80,81,78,84,79,0,0,1,0,1,0,0,0,0,0
87,81,88,82,84,88,0,0,0,0,1,0,0,1,0,0
86,83,86,81,85,84,0,0,0,0,1,0,0,0,0,0
86,79,85,81,85,87,0,0,0,0,1,0,1,0,0,0
87,83,84,84,85,88,0,0,0,0,1,1,0,0,0,1
89,84,87,85,86,92,0,0,0,0,1,0,1,0,1,1
87,81,86,83,86,88,0,0,0,0,0,0,0,0,0,0
89,83,89,80,85,86,0,0,0,0,1,0,0,0,0,1
89,83,86,89,86,91,1,0,0,0,1,0,0,0,0,1
85,78,85,86,84,86,0,0,0,0,0,0,0,1,0,0
89,82,81,83,86,88,0,0,0,0,1,0,0,0,0,1
90,83,87,86,86,88,0,0,0,0,1,1,0,1,0,1
87,81,84,82,85,86,0,0,0,0,1,0,1,0,0,0
89,82,80,83,86,86,0,0,0,0,1,0,0,0,0,0
86,79,84,79,86,88,0,0,0,0,1,0,1,0,1,0
88,83,85,83,86,89,0,0,0,0,1,1,0,0,0,1
84,82,81,80,84,85,0,0,0,0,1,0,0,0,0,0
87,84,86,85,85,90,0,0,0,0,1,0,0,0,0,1
88,82,88,83,86,91,0,0,0,0,1,1,0,0,0,1
87,81,86,82,86,88,0,0,0,0,1,0,0,1,0,1
88,83,86,80,85,87,0,0,0,1,1,1,0,0,0,1
88,83,84,87,85,87,0,0,0,0,1,0,0,0,0,1
87,85,84,84,85,84,0,0,0,0,1,0,1,0,0,0
88,82,85,91,86,87,0,0,0,0,0,0,0,0,0,1
